iter	RMSE
0	11901.80291
1	11458.60799
2	11069.39173
3	10691.99609
4	10365.89654
5	10071.71666
6	9767.612302
7	9490.447426
8	9256.32966
9	8970.963048
10	8707.211767
11	8483.711265
12	8249.792113
13	8020.035674
14	7799.771158
15	7589.308265
16	7403.570269
17	7225.28093
18	7053.515055
19	6896.284007
20	6760.315408
21	6616.839729
22	6477.046719
23	6337.45493
24	6210.526759
25	6094.347497
26	5992.740775
27	5890.154486
28	5798.539818
29	5710.829812
30	5626.399387
31	5536.37929
32	5465.321147
33	5397.50422
34	5331.658343
35	5270.634024
36	5211.869796
37	5159.180812
38	5114.183715
39	5061.463052
40	5020.615751
41	4980.722848
42	4938.233874
43	4892.333221
44	4858.595252
45	4826.535819
46	4799.655585
47	4770.22971
48	4743.205157
49	4719.48386
50	4693.073185
51	4663.837249
52	4639.858085
53	4618.437725
54	4597.195373
55	4579.805874
56	4560.856445
57	4541.805363
58	4521.394296
59	4510.381921
60	4495.269812
61	4479.260307
62	4465.167554
63	4448.957409
64	4436.101864
65	4420.163937
66	4408.768345
67	4402.661027
68	4389.490741
69	4379.962591
70	4365.089222
71	4354.479291
72	4346.329298
73	4340.448453
74	4331.326065
75	4326.284688
76	4322.90256
77	4313.490141
78	4304.859973
79	4293.977706
80	4283.835079
81	4275.897781
82	4267.374869
83	4257.787683
84	4252.38902
85	4245.835785
86	4238.041798
87	4231.38653
88	4222.77294
89	4212.788937
90	4203.106917
91	4195.4805
92	4191.882713
93	4185.200542
94	4179.150428
95	4175.022949
96	4170.443559
97	4159.307164
98	4151.357843
99	4141.826059
