iter	Passed	Remaining
0	3	369
1	5	255
2	7	244
3	9	230
4	11	218
5	13	209
6	14	199
7	16	192
8	18	186
9	19	173
10	20	167
11	22	162
12	23	154
13	24	149
14	25	145
15	27	142
16	28	139
17	29	134
18	30	130
19	31	126
20	32	121
21	33	117
22	34	115
23	35	112
24	36	110
25	38	108
26	39	105
27	40	103
28	41	101
29	42	98
30	43	96
31	44	94
32	45	92
33	46	90
34	47	87
35	47	84
36	48	82
37	49	80
38	50	78
39	51	76
40	51	74
41	52	72
42	53	70
43	54	68
44	54	67
45	55	64
46	56	63
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	60	53
53	61	52
54	62	50
55	62	49
56	63	47
57	63	46
58	64	44
59	65	43
60	65	42
61	66	40
62	67	39
63	67	38
64	68	36
65	69	35
66	69	34
67	70	33
68	70	31
69	71	30
70	72	29
71	72	28
72	73	27
73	74	26
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
